date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-26,Wuhan,Beijing,122,True,0.0002464
2020-01-26,Wuhan,Changsha,168,True,0.0002464
2020-01-26,Wuhan,Chengdu,84,True,0.0002464
2020-01-26,Wuhan,Chongqing,186,True,0.0002464
2020-01-26,Wuhan,Dalian,17,True,0.0002464
2020-01-26,Wuhan,Fuzhou,40,True,0.0002464
2020-01-26,Wuhan,Guangzhou,183,True,0.0002464
2020-01-26,Wuhan,Guilin,17,True,0.0002464
2020-01-26,Wuhan,Guiyang,17,True,0.0002464
2020-01-26,Wuhan,Haerbin,17,True,0.0002464
2020-01-26,Wuhan,Haikou,23,True,0.0002464
2020-01-26,Wuhan,Hangzhou,75,True,0.0002464
2020-01-26,Wuhan,Hefei,52,True,0.0002464
2020-01-26,Wuhan,Jinan,17,True,0.0002464
2020-01-26,Wuhan,Jinzhong,17,True,0.0002464
2020-01-26,Wuhan,Kunming,104,True,0.0002464
2020-01-26,Wuhan,Lanzhou,17,True,0.0002464
2020-01-26,Wuhan,Nanchang,81,True,0.0002464
2020-01-26,Wuhan,Nanjing,43,True,0.0002464
2020-01-26,Wuhan,Nanning,17,True,0.0002464
2020-01-26,Wuhan,Qingdao,17,True,0.0002464
2020-01-26,Wuhan,Sanya,55,True,0.0002464
2020-01-26,Wuhan,Shanghai,148,True,0.0002464
2020-01-26,Wuhan,Shenyang,20,True,0.0002464
2020-01-26,Wuhan,Shenzhen,404,True,0.0002464
2020-01-26,Wuhan,Shijiazhuang,17,True,0.0002464
2020-01-26,Wuhan,Suzhou,84,True,0.0002464
2020-01-26,Wuhan,Taiyuan,23,True,0.0002464
2020-01-26,Wuhan,Tianjin,17,True,0.0002464
2020-01-26,Wuhan,Wenzhou,29,True,0.0002464
2020-01-26,Wuhan,Xiamen,29,True,0.0002464
2020-01-26,Wuhan,Xian,55,True,0.0002464
2020-01-26,Wuhan,Zhengzhou,142,True,0.0002464
