date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-18,Wuhan,Beijing,2481,True,0.0002464
2020-01-18,Wuhan,Changsha,3467,True,0.0002464
2020-01-18,Wuhan,Chengdu,1563,True,0.0002464
2020-01-18,Wuhan,Chongqing,4317,True,0.0002464
2020-01-18,Wuhan,Dalian,305,True,0.0002464
2020-01-18,Wuhan,Fuzhou,679,True,0.0002464
2020-01-18,Wuhan,Guangzhou,1325,True,0.0002464
2020-01-18,Wuhan,Guilin,339,True,0.0002464
2020-01-18,Wuhan,Guiyang,373,True,0.0002464
2020-01-18,Wuhan,Haerbin,577,True,0.0002464
2020-01-18,Wuhan,Haikou,339,True,0.0002464
2020-01-18,Wuhan,Hangzhou,917,True,0.0002464
2020-01-18,Wuhan,Hefei,1359,True,0.0002464
2020-01-18,Wuhan,Jinan,373,True,0.0002464
2020-01-18,Wuhan,Jinzhong,305,True,0.0002464
2020-01-18,Wuhan,Kunming,679,True,0.0002464
2020-01-18,Wuhan,Lanzhou,305,True,0.0002464
2020-01-18,Wuhan,Nanchang,1563,True,0.0002464
2020-01-18,Wuhan,Nanjing,951,True,0.0002464
2020-01-18,Wuhan,Nanning,441,True,0.0002464
2020-01-18,Wuhan,Qingdao,407,True,0.0002464
2020-01-18,Wuhan,Sanya,407,True,0.0002464
2020-01-18,Wuhan,Shanghai,2039,True,0.0002464
2020-01-18,Wuhan,Shenyang,339,True,0.0002464
2020-01-18,Wuhan,Shenzhen,1393,True,0.0002464
2020-01-18,Wuhan,Shijiazhuang,577,True,0.0002464
2020-01-18,Wuhan,Suzhou,611,True,0.0002464
2020-01-18,Wuhan,Taiyuan,305,True,0.0002464
2020-01-18,Wuhan,Tianjin,475,True,0.0002464
2020-01-18,Wuhan,Wenzhou,815,True,0.0002464
2020-01-18,Wuhan,Xiamen,475,True,0.0002464
2020-01-18,Wuhan,Xian,1087,True,0.0002464
2020-01-18,Wuhan,Zhengzhou,2107,True,0.0002464
