date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-13,Wuhan,Beijing,3657,True,0.0002464
2020-01-13,Wuhan,Changsha,3961,True,0.0002464
2020-01-13,Wuhan,Chengdu,1701,True,0.0002464
2020-01-13,Wuhan,Chongqing,3377,True,0.0002464
2020-01-13,Wuhan,Dalian,253,True,0.0002464
2020-01-13,Wuhan,Fuzhou,558,True,0.0002464
2020-01-13,Wuhan,Guangzhou,1752,True,0.0002464
2020-01-13,Wuhan,Guilin,457,True,0.0002464
2020-01-13,Wuhan,Guiyang,584,True,0.0002464
2020-01-13,Wuhan,Haerbin,482,True,0.0002464
2020-01-13,Wuhan,Haikou,380,True,0.0002464
2020-01-13,Wuhan,Hangzhou,1092,True,0.0002464
2020-01-13,Wuhan,Hefei,1498,True,0.0002464
2020-01-13,Wuhan,Jinan,355,True,0.0002464
2020-01-13,Wuhan,Jinzhong,253,True,0.0002464
2020-01-13,Wuhan,Kunming,863,True,0.0002464
2020-01-13,Wuhan,Lanzhou,380,True,0.0002464
2020-01-13,Wuhan,Nanchang,1523,True,0.0002464
2020-01-13,Wuhan,Nanjing,1193,True,0.0002464
2020-01-13,Wuhan,Nanning,761,True,0.0002464
2020-01-13,Wuhan,Qingdao,431,True,0.0002464
2020-01-13,Wuhan,Sanya,253,True,0.0002464
2020-01-13,Wuhan,Shanghai,2844,True,0.0002464
2020-01-13,Wuhan,Shenyang,304,True,0.0002464
2020-01-13,Wuhan,Shenzhen,1803,True,0.0002464
2020-01-13,Wuhan,Shijiazhuang,558,True,0.0002464
2020-01-13,Wuhan,Suzhou,685,True,0.0002464
2020-01-13,Wuhan,Taiyuan,431,True,0.0002464
2020-01-13,Wuhan,Tianjin,558,True,0.0002464
2020-01-13,Wuhan,Wenzhou,533,True,0.0002464
2020-01-13,Wuhan,Xiamen,533,True,0.0002464
2020-01-13,Wuhan,Xian,1168,True,0.0002464
2020-01-13,Wuhan,Zhengzhou,2133,True,0.0002464
