date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-27,Wuhan,Beijing,51,True,0.0002464
2020-01-27,Wuhan,Changsha,94,True,0.0002464
2020-01-27,Wuhan,Chengdu,30,True,0.0002464
2020-01-27,Wuhan,Chongqing,102,True,0.0002464
2020-01-27,Wuhan,Dalian,7,True,0.0002464
2020-01-27,Wuhan,Fuzhou,20,True,0.0002464
2020-01-27,Wuhan,Guangzhou,125,True,0.0002464
2020-01-27,Wuhan,Guilin,7,True,0.0002464
2020-01-27,Wuhan,Guiyang,11,True,0.0002464
2020-01-27,Wuhan,Haerbin,7,True,0.0002464
2020-01-27,Wuhan,Haikou,17,True,0.0002464
2020-01-27,Wuhan,Hangzhou,24,True,0.0002464
2020-01-27,Wuhan,Hefei,45,True,0.0002464
2020-01-27,Wuhan,Jinan,7,True,0.0002464
2020-01-27,Wuhan,Jinzhong,7,True,0.0002464
2020-01-27,Wuhan,Kunming,32,True,0.0002464
2020-01-27,Wuhan,Lanzhou,7,True,0.0002464
2020-01-27,Wuhan,Nanchang,60,True,0.0002464
2020-01-27,Wuhan,Nanjing,56,True,0.0002464
2020-01-27,Wuhan,Nanning,7,True,0.0002464
2020-01-27,Wuhan,Qingdao,11,True,0.0002464
2020-01-27,Wuhan,Sanya,13,True,0.0002464
2020-01-27,Wuhan,Shanghai,102,True,0.0002464
2020-01-27,Wuhan,Shenyang,7,True,0.0002464
2020-01-27,Wuhan,Shenzhen,180,True,0.0002464
2020-01-27,Wuhan,Shijiazhuang,7,True,0.0002464
2020-01-27,Wuhan,Suzhou,43,True,0.0002464
2020-01-27,Wuhan,Taiyuan,7,True,0.0002464
2020-01-27,Wuhan,Tianjin,11,True,0.0002464
2020-01-27,Wuhan,Wenzhou,11,True,0.0002464
2020-01-27,Wuhan,Xiamen,28,True,0.0002464
2020-01-27,Wuhan,Xian,13,True,0.0002464
2020-01-27,Wuhan,Zhengzhou,73,True,0.0002464
