date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-10,Wuhan,Beijing,4757,True,0.0002464
2020-01-10,Wuhan,Changsha,4932,True,0.0002464
2020-01-10,Wuhan,Chengdu,2072,True,0.0002464
2020-01-10,Wuhan,Chongqing,4319,True,0.0002464
2020-01-10,Wuhan,Dalian,350,True,0.0002464
2020-01-10,Wuhan,Fuzhou,642,True,0.0002464
2020-01-10,Wuhan,Guangzhou,2481,True,0.0002464
2020-01-10,Wuhan,Guilin,525,True,0.0002464
2020-01-10,Wuhan,Guiyang,758,True,0.0002464
2020-01-10,Wuhan,Haerbin,525,True,0.0002464
2020-01-10,Wuhan,Haikou,496,True,0.0002464
2020-01-10,Wuhan,Hangzhou,1284,True,0.0002464
2020-01-10,Wuhan,Hefei,1955,True,0.0002464
2020-01-10,Wuhan,Jinan,583,True,0.0002464
2020-01-10,Wuhan,Jinzhong,321,True,0.0002464
2020-01-10,Wuhan,Kunming,1021,True,0.0002464
2020-01-10,Wuhan,Lanzhou,496,True,0.0002464
2020-01-10,Wuhan,Nanchang,1634,True,0.0002464
2020-01-10,Wuhan,Nanjing,1751,True,0.0002464
2020-01-10,Wuhan,Nanning,904,True,0.0002464
2020-01-10,Wuhan,Qingdao,554,True,0.0002464
2020-01-10,Wuhan,Sanya,437,True,0.0002464
2020-01-10,Wuhan,Shanghai,3444,True,0.0002464
2020-01-10,Wuhan,Shenyang,379,True,0.0002464
2020-01-10,Wuhan,Shenzhen,2218,True,0.0002464
2020-01-10,Wuhan,Shijiazhuang,846,True,0.0002464
2020-01-10,Wuhan,Suzhou,1021,True,0.0002464
2020-01-10,Wuhan,Taiyuan,612,True,0.0002464
2020-01-10,Wuhan,Tianjin,846,True,0.0002464
2020-01-10,Wuhan,Wenzhou,642,True,0.0002464
2020-01-10,Wuhan,Xiamen,700,True,0.0002464
2020-01-10,Wuhan,Xian,1517,True,0.0002464
2020-01-10,Wuhan,Zhengzhou,2626,True,0.0002464
