date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-21,Wuhan,Beijing,2225,True,0.0002464
2020-01-21,Wuhan,Changsha,3125,True,0.0002464
2020-01-21,Wuhan,Chengdu,1562,True,0.0002464
2020-01-21,Wuhan,Chongqing,5919,True,0.0002464
2020-01-21,Wuhan,Dalian,378,True,0.0002464
2020-01-21,Wuhan,Fuzhou,805,True,0.0002464
2020-01-21,Wuhan,Guangzhou,1941,True,0.0002464
2020-01-21,Wuhan,Guilin,615,True,0.0002464
2020-01-21,Wuhan,Guiyang,378,True,0.0002464
2020-01-21,Wuhan,Haerbin,568,True,0.0002464
2020-01-21,Wuhan,Haikou,426,True,0.0002464
2020-01-21,Wuhan,Hangzhou,710,True,0.0002464
2020-01-21,Wuhan,Hefei,1278,True,0.0002464
2020-01-21,Wuhan,Jinan,378,True,0.0002464
2020-01-21,Wuhan,Jinzhong,378,True,0.0002464
2020-01-21,Wuhan,Kunming,899,True,0.0002464
2020-01-21,Wuhan,Lanzhou,378,True,0.0002464
2020-01-21,Wuhan,Nanchang,1894,True,0.0002464
2020-01-21,Wuhan,Nanjing,757,True,0.0002464
2020-01-21,Wuhan,Nanning,520,True,0.0002464
2020-01-21,Wuhan,Qingdao,378,True,0.0002464
2020-01-21,Wuhan,Sanya,615,True,0.0002464
2020-01-21,Wuhan,Shanghai,1562,True,0.0002464
2020-01-21,Wuhan,Shenyang,378,True,0.0002464
2020-01-21,Wuhan,Shenzhen,1846,True,0.0002464
2020-01-21,Wuhan,Shijiazhuang,710,True,0.0002464
2020-01-21,Wuhan,Suzhou,520,True,0.0002464
2020-01-21,Wuhan,Taiyuan,378,True,0.0002464
2020-01-21,Wuhan,Tianjin,426,True,0.0002464
2020-01-21,Wuhan,Wenzhou,1136,True,0.0002464
2020-01-21,Wuhan,Xiamen,710,True,0.0002464
2020-01-21,Wuhan,Xian,1325,True,0.0002464
2020-01-21,Wuhan,Zhengzhou,2083,True,0.0002464
