date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-15,Wuhan,Beijing,3387,True,0.0002464
2020-01-15,Wuhan,Changsha,3179,True,0.0002464
2020-01-15,Wuhan,Chengdu,1485,True,0.0002464
2020-01-15,Wuhan,Chongqing,4012,True,0.0002464
2020-01-15,Wuhan,Dalian,260,True,0.0002464
2020-01-15,Wuhan,Fuzhou,573,True,0.0002464
2020-01-15,Wuhan,Guangzhou,1381,True,0.0002464
2020-01-15,Wuhan,Guilin,364,True,0.0002464
2020-01-15,Wuhan,Guiyang,338,True,0.0002464
2020-01-15,Wuhan,Haerbin,469,True,0.0002464
2020-01-15,Wuhan,Haikou,338,True,0.0002464
2020-01-15,Wuhan,Hangzhou,885,True,0.0002464
2020-01-15,Wuhan,Hefei,1302,True,0.0002464
2020-01-15,Wuhan,Jinan,338,True,0.0002464
2020-01-15,Wuhan,Jinzhong,260,True,0.0002464
2020-01-15,Wuhan,Kunming,547,True,0.0002464
2020-01-15,Wuhan,Lanzhou,338,True,0.0002464
2020-01-15,Wuhan,Nanchang,1433,True,0.0002464
2020-01-15,Wuhan,Nanjing,912,True,0.0002464
2020-01-15,Wuhan,Nanning,573,True,0.0002464
2020-01-15,Wuhan,Qingdao,469,True,0.0002464
2020-01-15,Wuhan,Sanya,286,True,0.0002464
2020-01-15,Wuhan,Shanghai,2371,True,0.0002464
2020-01-15,Wuhan,Shenyang,286,True,0.0002464
2020-01-15,Wuhan,Shenzhen,1407,True,0.0002464
2020-01-15,Wuhan,Shijiazhuang,547,True,0.0002464
2020-01-15,Wuhan,Suzhou,599,True,0.0002464
2020-01-15,Wuhan,Taiyuan,364,True,0.0002464
2020-01-15,Wuhan,Tianjin,573,True,0.0002464
2020-01-15,Wuhan,Wenzhou,573,True,0.0002464
2020-01-15,Wuhan,Xiamen,521,True,0.0002464
2020-01-15,Wuhan,Xian,938,True,0.0002464
2020-01-15,Wuhan,Zhengzhou,1980,True,0.0002464
