date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-22,Wuhan,Beijing,2035,True,0.0002464
2020-01-22,Wuhan,Changsha,3132,True,0.0002464
2020-01-22,Wuhan,Chengdu,1513,True,0.0002464
2020-01-22,Wuhan,Chongqing,5429,True,0.0002464
2020-01-22,Wuhan,Dalian,365,True,0.0002464
2020-01-22,Wuhan,Fuzhou,939,True,0.0002464
2020-01-22,Wuhan,Guangzhou,1931,True,0.0002464
2020-01-22,Wuhan,Guilin,574,True,0.0002464
2020-01-22,Wuhan,Guiyang,365,True,0.0002464
2020-01-22,Wuhan,Haerbin,574,True,0.0002464
2020-01-22,Wuhan,Haikou,469,True,0.0002464
2020-01-22,Wuhan,Hangzhou,574,True,0.0002464
2020-01-22,Wuhan,Hefei,1305,True,0.0002464
2020-01-22,Wuhan,Jinan,365,True,0.0002464
2020-01-22,Wuhan,Jinzhong,365,True,0.0002464
2020-01-22,Wuhan,Kunming,887,True,0.0002464
2020-01-22,Wuhan,Lanzhou,365,True,0.0002464
2020-01-22,Wuhan,Nanchang,1983,True,0.0002464
2020-01-22,Wuhan,Nanjing,678,True,0.0002464
2020-01-22,Wuhan,Nanning,574,True,0.0002464
2020-01-22,Wuhan,Qingdao,365,True,0.0002464
2020-01-22,Wuhan,Sanya,574,True,0.0002464
2020-01-22,Wuhan,Shanghai,1461,True,0.0002464
2020-01-22,Wuhan,Shenyang,365,True,0.0002464
2020-01-22,Wuhan,Shenzhen,1827,True,0.0002464
2020-01-22,Wuhan,Shijiazhuang,730,True,0.0002464
2020-01-22,Wuhan,Suzhou,469,True,0.0002464
2020-01-22,Wuhan,Taiyuan,365,True,0.0002464
2020-01-22,Wuhan,Tianjin,365,True,0.0002464
2020-01-22,Wuhan,Wenzhou,1148,True,0.0002464
2020-01-22,Wuhan,Xiamen,574,True,0.0002464
2020-01-22,Wuhan,Xian,1096,True,0.0002464
2020-01-22,Wuhan,Zhengzhou,1618,True,0.0002464
