date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-17,Wuhan,Beijing,3038,True,0.0002464
2020-01-17,Wuhan,Changsha,3208,True,0.0002464
2020-01-17,Wuhan,Chengdu,1419,True,0.0002464
2020-01-17,Wuhan,Chongqing,3748,True,0.0002464
2020-01-17,Wuhan,Dalian,283,True,0.0002464
2020-01-17,Wuhan,Fuzhou,653,True,0.0002464
2020-01-17,Wuhan,Guangzhou,1306,True,0.0002464
2020-01-17,Wuhan,Guilin,312,True,0.0002464
2020-01-17,Wuhan,Guiyang,312,True,0.0002464
2020-01-17,Wuhan,Haerbin,539,True,0.0002464
2020-01-17,Wuhan,Haikou,312,True,0.0002464
2020-01-17,Wuhan,Hangzhou,795,True,0.0002464
2020-01-17,Wuhan,Hefei,1334,True,0.0002464
2020-01-17,Wuhan,Jinan,369,True,0.0002464
2020-01-17,Wuhan,Jinzhong,283,True,0.0002464
2020-01-17,Wuhan,Kunming,596,True,0.0002464
2020-01-17,Wuhan,Lanzhou,340,True,0.0002464
2020-01-17,Wuhan,Nanchang,1391,True,0.0002464
2020-01-17,Wuhan,Nanjing,908,True,0.0002464
2020-01-17,Wuhan,Nanning,567,True,0.0002464
2020-01-17,Wuhan,Qingdao,482,True,0.0002464
2020-01-17,Wuhan,Sanya,369,True,0.0002464
2020-01-17,Wuhan,Shanghai,2271,True,0.0002464
2020-01-17,Wuhan,Shenyang,397,True,0.0002464
2020-01-17,Wuhan,Shenzhen,1362,True,0.0002464
2020-01-17,Wuhan,Shijiazhuang,596,True,0.0002464
2020-01-17,Wuhan,Suzhou,653,True,0.0002464
2020-01-17,Wuhan,Taiyuan,340,True,0.0002464
2020-01-17,Wuhan,Tianjin,425,True,0.0002464
2020-01-17,Wuhan,Wenzhou,624,True,0.0002464
2020-01-17,Wuhan,Xiamen,482,True,0.0002464
2020-01-17,Wuhan,Xian,1022,True,0.0002464
2020-01-17,Wuhan,Zhengzhou,1930,True,0.0002464
