date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-11,Wuhan,Beijing,3866,True,0.0002464
2020-01-11,Wuhan,Changsha,5166,True,0.0002464
2020-01-11,Wuhan,Chengdu,2133,True,0.0002464
2020-01-11,Wuhan,Chongqing,4000,True,0.0002464
2020-01-11,Wuhan,Dalian,333,True,0.0002464
2020-01-11,Wuhan,Fuzhou,633,True,0.0002464
2020-01-11,Wuhan,Guangzhou,2066,True,0.0002464
2020-01-11,Wuhan,Guilin,500,True,0.0002464
2020-01-11,Wuhan,Guiyang,700,True,0.0002464
2020-01-11,Wuhan,Haerbin,633,True,0.0002464
2020-01-11,Wuhan,Haikou,500,True,0.0002464
2020-01-11,Wuhan,Hangzhou,1300,True,0.0002464
2020-01-11,Wuhan,Hefei,1900,True,0.0002464
2020-01-11,Wuhan,Jinan,466,True,0.0002464
2020-01-11,Wuhan,Jinzhong,300,True,0.0002464
2020-01-11,Wuhan,Kunming,1066,True,0.0002464
2020-01-11,Wuhan,Lanzhou,400,True,0.0002464
2020-01-11,Wuhan,Nanchang,1633,True,0.0002464
2020-01-11,Wuhan,Nanjing,1500,True,0.0002464
2020-01-11,Wuhan,Nanning,966,True,0.0002464
2020-01-11,Wuhan,Qingdao,433,True,0.0002464
2020-01-11,Wuhan,Sanya,333,True,0.0002464
2020-01-11,Wuhan,Shanghai,3233,True,0.0002464
2020-01-11,Wuhan,Shenyang,366,True,0.0002464
2020-01-11,Wuhan,Shenzhen,2066,True,0.0002464
2020-01-11,Wuhan,Shijiazhuang,766,True,0.0002464
2020-01-11,Wuhan,Suzhou,966,True,0.0002464
2020-01-11,Wuhan,Taiyuan,466,True,0.0002464
2020-01-11,Wuhan,Tianjin,733,True,0.0002464
2020-01-11,Wuhan,Wenzhou,600,True,0.0002464
2020-01-11,Wuhan,Xiamen,600,True,0.0002464
2020-01-11,Wuhan,Xian,1433,True,0.0002464
2020-01-11,Wuhan,Zhengzhou,2700,True,0.0002464
