date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-16,Wuhan,Beijing,3386,True,0.0002464
2020-01-16,Wuhan,Changsha,3121,True,0.0002464
2020-01-16,Wuhan,Chengdu,1507,True,0.0002464
2020-01-16,Wuhan,Chongqing,3835,True,0.0002464
2020-01-16,Wuhan,Dalian,264,True,0.0002464
2020-01-16,Wuhan,Fuzhou,608,True,0.0002464
2020-01-16,Wuhan,Guangzhou,1402,True,0.0002464
2020-01-16,Wuhan,Guilin,291,True,0.0002464
2020-01-16,Wuhan,Guiyang,370,True,0.0002464
2020-01-16,Wuhan,Haerbin,476,True,0.0002464
2020-01-16,Wuhan,Haikou,343,True,0.0002464
2020-01-16,Wuhan,Hangzhou,873,True,0.0002464
2020-01-16,Wuhan,Hefei,1243,True,0.0002464
2020-01-16,Wuhan,Jinan,370,True,0.0002464
2020-01-16,Wuhan,Jinzhong,264,True,0.0002464
2020-01-16,Wuhan,Kunming,687,True,0.0002464
2020-01-16,Wuhan,Lanzhou,317,True,0.0002464
2020-01-16,Wuhan,Nanchang,1481,True,0.0002464
2020-01-16,Wuhan,Nanjing,846,True,0.0002464
2020-01-16,Wuhan,Nanning,582,True,0.0002464
2020-01-16,Wuhan,Qingdao,449,True,0.0002464
2020-01-16,Wuhan,Sanya,423,True,0.0002464
2020-01-16,Wuhan,Shanghai,2433,True,0.0002464
2020-01-16,Wuhan,Shenyang,370,True,0.0002464
2020-01-16,Wuhan,Shenzhen,1349,True,0.0002464
2020-01-16,Wuhan,Shijiazhuang,476,True,0.0002464
2020-01-16,Wuhan,Suzhou,608,True,0.0002464
2020-01-16,Wuhan,Taiyuan,343,True,0.0002464
2020-01-16,Wuhan,Tianjin,529,True,0.0002464
2020-01-16,Wuhan,Wenzhou,555,True,0.0002464
2020-01-16,Wuhan,Xiamen,502,True,0.0002464
2020-01-16,Wuhan,Xian,1058,True,0.0002464
2020-01-16,Wuhan,Zhengzhou,2089,True,0.0002464
