date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-24,Wuhan,Beijing,668,True,0.0002464
2020-01-24,Wuhan,Changsha,1046,True,0.0002464
2020-01-24,Wuhan,Chengdu,428,True,0.0002464
2020-01-24,Wuhan,Chongqing,2212,True,0.0002464
2020-01-24,Wuhan,Dalian,137,True,0.0002464
2020-01-24,Wuhan,Fuzhou,308,True,0.0002464
2020-01-24,Wuhan,Guangzhou,943,True,0.0002464
2020-01-24,Wuhan,Guilin,205,True,0.0002464
2020-01-24,Wuhan,Guiyang,137,True,0.0002464
2020-01-24,Wuhan,Haerbin,154,True,0.0002464
2020-01-24,Wuhan,Haikou,171,True,0.0002464
2020-01-24,Wuhan,Hangzhou,343,True,0.0002464
2020-01-24,Wuhan,Hefei,291,True,0.0002464
2020-01-24,Wuhan,Jinan,137,True,0.0002464
2020-01-24,Wuhan,Jinzhong,188,True,0.0002464
2020-01-24,Wuhan,Kunming,240,True,0.0002464
2020-01-24,Wuhan,Lanzhou,137,True,0.0002464
2020-01-24,Wuhan,Nanchang,651,True,0.0002464
2020-01-24,Wuhan,Nanjing,274,True,0.0002464
2020-01-24,Wuhan,Nanning,154,True,0.0002464
2020-01-24,Wuhan,Qingdao,137,True,0.0002464
2020-01-24,Wuhan,Sanya,257,True,0.0002464
2020-01-24,Wuhan,Shanghai,909,True,0.0002464
2020-01-24,Wuhan,Shenyang,137,True,0.0002464
2020-01-24,Wuhan,Shenzhen,1372,True,0.0002464
2020-01-24,Wuhan,Shijiazhuang,171,True,0.0002464
2020-01-24,Wuhan,Suzhou,360,True,0.0002464
2020-01-24,Wuhan,Taiyuan,137,True,0.0002464
2020-01-24,Wuhan,Tianjin,154,True,0.0002464
2020-01-24,Wuhan,Wenzhou,360,True,0.0002464
2020-01-24,Wuhan,Xiamen,257,True,0.0002464
2020-01-24,Wuhan,Xian,480,True,0.0002464
2020-01-24,Wuhan,Zhengzhou,463,True,0.0002464
