date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-14,Wuhan,Beijing,3466,True,0.0002464
2020-01-14,Wuhan,Changsha,3538,True,0.0002464
2020-01-14,Wuhan,Chengdu,1444,True,0.0002464
2020-01-14,Wuhan,Chongqing,3442,True,0.0002464
2020-01-14,Wuhan,Dalian,264,True,0.0002464
2020-01-14,Wuhan,Fuzhou,529,True,0.0002464
2020-01-14,Wuhan,Guangzhou,1492,True,0.0002464
2020-01-14,Wuhan,Guilin,361,True,0.0002464
2020-01-14,Wuhan,Guiyang,505,True,0.0002464
2020-01-14,Wuhan,Haerbin,409,True,0.0002464
2020-01-14,Wuhan,Haikou,337,True,0.0002464
2020-01-14,Wuhan,Hangzhou,914,True,0.0002464
2020-01-14,Wuhan,Hefei,1348,True,0.0002464
2020-01-14,Wuhan,Jinan,312,True,0.0002464
2020-01-14,Wuhan,Jinzhong,240,True,0.0002464
2020-01-14,Wuhan,Kunming,625,True,0.0002464
2020-01-14,Wuhan,Lanzhou,361,True,0.0002464
2020-01-14,Wuhan,Nanchang,1420,True,0.0002464
2020-01-14,Wuhan,Nanjing,1083,True,0.0002464
2020-01-14,Wuhan,Nanning,650,True,0.0002464
2020-01-14,Wuhan,Qingdao,433,True,0.0002464
2020-01-14,Wuhan,Sanya,264,True,0.0002464
2020-01-14,Wuhan,Shanghai,2696,True,0.0002464
2020-01-14,Wuhan,Shenyang,288,True,0.0002464
2020-01-14,Wuhan,Shenzhen,1396,True,0.0002464
2020-01-14,Wuhan,Shijiazhuang,457,True,0.0002464
2020-01-14,Wuhan,Suzhou,577,True,0.0002464
2020-01-14,Wuhan,Taiyuan,385,True,0.0002464
2020-01-14,Wuhan,Tianjin,409,True,0.0002464
2020-01-14,Wuhan,Wenzhou,457,True,0.0002464
2020-01-14,Wuhan,Xiamen,529,True,0.0002464
2020-01-14,Wuhan,Xian,1011,True,0.0002464
2020-01-14,Wuhan,Zhengzhou,1998,True,0.0002464
