date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-12,Wuhan,Beijing,3318,True,0.0002464
2020-01-12,Wuhan,Changsha,3674,True,0.0002464
2020-01-12,Wuhan,Chengdu,2002,True,0.0002464
2020-01-12,Wuhan,Chongqing,3674,True,0.0002464
2020-01-12,Wuhan,Dalian,274,True,0.0002464
2020-01-12,Wuhan,Fuzhou,658,True,0.0002464
2020-01-12,Wuhan,Guangzhou,1672,True,0.0002464
2020-01-12,Wuhan,Guilin,466,True,0.0002464
2020-01-12,Wuhan,Guiyang,575,True,0.0002464
2020-01-12,Wuhan,Haerbin,603,True,0.0002464
2020-01-12,Wuhan,Haikou,438,True,0.0002464
2020-01-12,Wuhan,Hangzhou,877,True,0.0002464
2020-01-12,Wuhan,Hefei,1343,True,0.0002464
2020-01-12,Wuhan,Jinan,466,True,0.0002464
2020-01-12,Wuhan,Jinzhong,274,True,0.0002464
2020-01-12,Wuhan,Kunming,877,True,0.0002464
2020-01-12,Wuhan,Lanzhou,411,True,0.0002464
2020-01-12,Wuhan,Nanchang,1316,True,0.0002464
2020-01-12,Wuhan,Nanjing,1097,True,0.0002464
2020-01-12,Wuhan,Nanning,987,True,0.0002464
2020-01-12,Wuhan,Qingdao,438,True,0.0002464
2020-01-12,Wuhan,Sanya,383,True,0.0002464
2020-01-12,Wuhan,Shanghai,2331,True,0.0002464
2020-01-12,Wuhan,Shenyang,301,True,0.0002464
2020-01-12,Wuhan,Shenzhen,1672,True,0.0002464
2020-01-12,Wuhan,Shijiazhuang,603,True,0.0002464
2020-01-12,Wuhan,Suzhou,713,True,0.0002464
2020-01-12,Wuhan,Taiyuan,466,True,0.0002464
2020-01-12,Wuhan,Tianjin,603,True,0.0002464
2020-01-12,Wuhan,Wenzhou,466,True,0.0002464
2020-01-12,Wuhan,Xiamen,493,True,0.0002464
2020-01-12,Wuhan,Xian,1179,True,0.0002464
2020-01-12,Wuhan,Zhengzhou,2166,True,0.0002464
