date,cityFrom,cityTo,number,sampled,sampledRate
2020-01-23,Wuhan,Beijing,1768,True,0.0002464
2020-01-23,Wuhan,Changsha,2947,True,0.0002464
2020-01-23,Wuhan,Chengdu,1031,True,0.0002464
2020-01-23,Wuhan,Chongqing,4911,True,0.0002464
2020-01-23,Wuhan,Dalian,294,True,0.0002464
2020-01-23,Wuhan,Fuzhou,835,True,0.0002464
2020-01-23,Wuhan,Guangzhou,1768,True,0.0002464
2020-01-23,Wuhan,Guilin,442,True,0.0002464
2020-01-23,Wuhan,Guiyang,294,True,0.0002464
2020-01-23,Wuhan,Haerbin,491,True,0.0002464
2020-01-23,Wuhan,Haikou,343,True,0.0002464
2020-01-23,Wuhan,Hangzhou,638,True,0.0002464
2020-01-23,Wuhan,Hefei,1031,True,0.0002464
2020-01-23,Wuhan,Jinan,294,True,0.0002464
2020-01-23,Wuhan,Jinzhong,589,True,0.0002464
2020-01-23,Wuhan,Kunming,687,True,0.0002464
2020-01-23,Wuhan,Lanzhou,294,True,0.0002464
2020-01-23,Wuhan,Nanchang,2210,True,0.0002464
2020-01-23,Wuhan,Nanjing,540,True,0.0002464
2020-01-23,Wuhan,Nanning,491,True,0.0002464
2020-01-23,Wuhan,Qingdao,294,True,0.0002464
2020-01-23,Wuhan,Sanya,589,True,0.0002464
2020-01-23,Wuhan,Shanghai,1522,True,0.0002464
2020-01-23,Wuhan,Shenyang,294,True,0.0002464
2020-01-23,Wuhan,Shenzhen,1817,True,0.0002464
2020-01-23,Wuhan,Shijiazhuang,442,True,0.0002464
2020-01-23,Wuhan,Suzhou,491,True,0.0002464
2020-01-23,Wuhan,Taiyuan,294,True,0.0002464
2020-01-23,Wuhan,Tianjin,294,True,0.0002464
2020-01-23,Wuhan,Wenzhou,785,True,0.0002464
2020-01-23,Wuhan,Xiamen,491,True,0.0002464
2020-01-23,Wuhan,Xian,982,True,0.0002464
2020-01-23,Wuhan,Zhengzhou,1277,True,0.0002464
